出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"109/03/07","108","1","8249","菱光","3301789.00","1211395.00","4513184.00","1028751.00","112908.00","1141659.00","1270550.00","677467.00","1193001.00","230507.00","--","3371525.00","--","--","--","3371525.00","0.00","0.00","0.00","26.54"
"109/03/07","108","1","8261","富鼎","1638854.00","562074.00","2200928.00","720477.00","3284.00","723761.00","813405.00","328338.00","389201.00","-74801.00","--","1456143.00","--","--","21024.00","1477167.00","--","0.00","0.00","17.90"
"109/03/07","108","1","8271","宇瞻","2982722.00","1137126.00","4119848.00","1290685.00","63335.00","1354020.00","1008978.00","359910.00","1460781.00","-64013.00","--","2765656.00","--","--","172.00","2765828.00","--","0.00","0.00","27.41"
"109/03/07","108","1","8341","日友","1490078.00","3628267.00","5118345.00","1297537.00","782475.00","2080012.00","1115000.00","452500.00","1494186.00","-23353.00","--","3038333.00","--","--","--","3038333.00","0.00","0.00","0.00","27.25"
"109/03/07","108","1","8367","建新國際","1246215.00","5229785.00","6476000.00","927058.00","3256426.00","4183484.00","811319.00","332786.00","801594.00","-2268.00","--","1943431.00","--","--","349085.00","2292516.00","--","0.00","0.00","23.95"
"109/03/07","108","1","8374","羅昇","2555578.00","552327.00","3107905.00","1339423.00","132006.00","1471429.00","892255.00","84792.00","656358.00","3071.00","--","1636476.00","--","--","--","1636476.00","0.00","0.00","0.00","18.34"
"109/03/07","108","1","8404","百和興業-KY","7241645.00","7339211.00","14580856.00","5859305.00","3194577.00","9053882.00","2918316.00","461544.00","2030010.00","-310308.00","--","5099562.00","--","--","427412.00","5526974.00","--","0.00","0.00","17.47"
"109/03/07","108","1","8411","福貞-KY","4769348.00","5199321.00","9968669.00","1773892.00","2586228.00","4360120.00","1753982.00","2369651.00","1892928.00","-408012.00","--","5608549.00","--","--","--","5608549.00","--","--","--","31.98"
"109/03/07","108","1","8422","可寧衛","2046472.00","5318220.00","7364692.00","787505.00","744143.00","1531648.00","1088880.00","1701775.00","3043667.00","-1278.00","--","5833044.00","--","--","--","5833044.00","--","0.00","0.00","53.57"
"109/03/07","108","1","8427","基勝-KY","4449596.00","2209934.00","6659530.00","2092106.00","321390.00","2413496.00","1042610.00","2113900.00","1038679.00","50845.00","--","4246034.00","--","--","--","4246034.00","--","0.00","0.00","40.73"
"109/03/07","108","1","8429","金麗-KY","7373146.00","1143112.00","8516258.00","487883.00","658912.00","1146795.00","1826422.00","1617452.00","4129184.00","-204302.00","--","7368756.00","--","--","707.00","7369463.00","0.00","0.00","0.00","40.35"
"109/03/07","108","1","8442","威宏-KY","3191539.00","1639603.00","4831142.00","2889626.00","655913.00","3545539.00","499997.00","498615.00","369155.00","-82164.00","--","1285603.00","--","--","--","1285603.00","0.00","0.00","0.00","25.71"
